Question	Method
Pot primi o adeverinta de student?	getStudentCertificate
Doresc sa obtin o adeverinta de student	getStudentCertificate
As dori sa mi se elibereze o adeverinta de student	getStudentCertificate
Vreau un document care sa ateste ca sunt student al acestei universitati.	getStudentCertificate
Pot sa primesc o adeverinta de student pentru acest semestru?	getStudentCertificate
Pot sa primesc o adeverinta de student in format electronic?	getStudentCertificate
Este posibil sa obtin o adeverinta de student?	getStudentCertificate
Doresc un document care sa confirme ca sunt student la aceasta universitate.	getStudentCertificate
Vreau sa mi se elibereze o aderinta pentru job	getStudentCertificate
Este posibil sa primesc o adeverinta de student pentru semestrul curent?	getStudentCertificate
Vreau sa mi se elibereze o adeverinta de student pentru casa de pensii.	getStudentCertificate
Vreau sa mi se elibereze o adeverinta de student pentru confirmarea statusului de student in scopuri administrative	getStudentCertificate
Vreau un document care sa ateste ca sunt student al acestei universitati. Mentionez ca imi va servi la casa de pensii.	getStudentCertificate
Vreau un document care sa ateste ca sunt student al acestei universitati. Mentionez ca imi va servi la compania de transport STB SA	getStudentCertificate
Vreau un document care sa ateste ca sunt student al acestei universitati pentru imprumut bancar	getStudentCertificate
Care este adresa de mail a profesorului Alin Zamfiroiu?	getEmailProfessor
Care este adresa de mail a profesoarei?	getEmailProfessor
Cum pot lua legatura cu doamna profesoara? 	getEmailProfessor
Cum pot lua legatura cu domnul profesor Dardala Marian? 	getEmailProfessor
Care sunt datele de contact ale profesorului Toma Andrei? 	getEmailProfessor
Care sunt datele de contact ale profesoarei Bologa Ramona? 	getEmailProfessor
Cum pot lua legatura cu profesorul Toma?	getEmailProfessor
Cum pot lua legatura cu doamna profesoara Bologa Ramona?	getEmailProfessor
Cum pot contacta profesorul Zamfiroiu Alin?	getEmailProfessor
Cum o  pot contacta pe doamna profesoara Bologa Ramona pentru a discuta despre tema?	getEmailProfessor
Pe ce adresa de email institutionala pot discuta cu profesorul Alin Zamfiroiu?	getEmailProfessor
Pe ce adresa de email pot trimite tema catre profesoara Ramona Bologa?	getEmailProfessor
Care sunt categoriile de bursa pe care le poate oferi facultatea?	getInfoScholarship
De cine este stabilit cuantumul bursei?	getInfoScholarship
Cate tipuri de bursa acorda facultatea?	getInfoScholarship
Cate tipuri de bursa sunt?	getInfoScholarship
Pentru ce studenti se acorda Bursa de Performanta?	getInfoScholarship
Pentru cine se acorda Bursele speciale?	getInfoScholarship
Pentru cine se acorda Bursele sociale? 	getInfoScholarship
Ce studenti vor primi bursele de performanta sportiva?	getInfoScholarship
Care este cuantumul pentru bursa sociala?	getAmountScholarship
Care este valoarea bursei de performanta?	getAmountScholarship
Care este suma primita pentru bursa speciala?	getAmountScholarship
Care esta cuantumul bursei pe semestrul 2?	getAmountScholarship
Care este valoarea bursei de excelenta Mihail Manoilescu?	getAmountScholarship
Ce valoare incaseaza studentii straini ca bursa?	getAmountScholarship
Ce valoare are bursa pentru masteranzii straini?	getAmountScholarship
Ce valoare are bursa de excelenta olimpica?	getAmountScholarship
Care este cuantumul pentru bursa oferita pentru implicarea in activitati culturale?	getAmountScholarship
Ce presupune programul de licenta in Cibernetica Economica?	getInfoCollegeAdmission
Ce se invata la Cibernetica Economica?	getInfoCollegeAdmission
Cand sunt inscrierile pentru programul de licenta in Cibernetica Economica?	getInfoCollegeAdmission
Ce imi poti spune despre specializarea Cibernetica Economica?	getInfoCollegeAdmission
Unde fac practica studentii de la specializarea Cibernetica Economica?	getInfoCollegeAdmission
Ce presupune programul de licenta in Informatica Economica?	getInfoCollegeAdmission
Ce se invata la Informatica Economica?	getInfoCollegeAdmission
Cand sunt inscrierile pentru programul de licenta in Informatica Economica?	getInfoCollegeAdmission
Ce imi poti spune despre specializarea Informatica Economica?	getInfoCollegeAdmission
Unde fac practica studentii de la specializarea Informatica Economica?	getInfoCollegeAdmission
Ce presupune programul de licenta in Statistica si Previziune Economica?	getInfoCollegeAdmission
Ce se face la Statistica si Previziune Economica?	getInfoCollegeAdmission
Cand sunt inscrierile pentru programul de licenta in Statistica si Previziune Economica?	getInfoCollegeAdmission
Ce imi poti spune despre specializarea Informatica Economica?	getInfoCollegeAdmission
Unde fac practica studentii de la specializarea Statistica si Previziune Economica?	getInfoCollegeAdmission
Unde fac practica studentii de la specializarea Statistica?	getInfoCollegeAdmission
Ce se invata la Statistica?	getInfoCollegeAdmission
Ce presupune programul de licenta in Informatica Economica  dar in limba engleza?	getInfoCollegeAdmission
Ce se va invata la Informatica Economica in limba engleza?	getInfoCollegeAdmission
Cand sunt inscrierile pentru programul de licenta in Informatca economica cu predare in limba engleza?	getInfoCollegeAdmission
Care sunt programele de masterat?	getInfoMaster
Cate mastere pune la dispozitie facultatea?	getInfoMaster
Cate programe de masterat sunt?	getInfoMaster
Cate tipuri de mastere exista in cadrul facultatii?	getInfoMaster
Ce ofera programul de master la Cibernetica Economica?	getInfoMaster
Care sunt obiectivele principale ale programului de master de Informatica Economica?	getInfoMaster
Cate programe de masterat de cercetare sunt?	getInfoMaster
Unde se face verificarea antiplagiat?	getInfoPlagiarism
Care este perioada de incarcare a lucrarilor de disertatie pentru antiplagiat?	getInfoPlagiarism
Cand se face verificarea antiplagiat contra-cost?	getInfoPlagiarism
Cum se face verificare antiplagiat contra-cost?	getInfoPlagiarism
Cum se achita taxa de verificare a lucrarii pentru antiplagiat?	getInfoPlagiarism
Ce praguri de alerta sunt pentru verificarea antiplagiat?	getInfoPlagiarism
Ce valori trebuie sa inregistreze coeficientii de similitudine la verificarea antiplagiat?	getInfoPlagiarism
Ce reprezinta coeficientii de la verificarea antiplagiat?	getInfoPlagiarism
Pentru verificarea antiplagiat  ce structura trebuie sa aibe documentul?	getInfoPlagiarism
In cate zile se primeste rezultatul dupa incarcarea lucrarii la antiplagit?	getInfoPlagiarism
Care este taxa de verificare a lucrarii la antiplagiat?	getInfoPlagiarism
Cum pot plati taxa de antiplagiat?	getInfoPlagiarism
Care sunt modalitatile de plata pentru verificarea antiplagiat?	getInfoPlagiarism
Daca nu functioneaza platforma  cum trimit lucrarea in vederea verificarii pentru antiplagiat?	getInfoPlagiarism
Ce zile libere avem de-a lungul anului universitar?	getInfoStudentCalendar
Cand se afiseaza lista cu absolventii care au obtinut calificativul Admis/Respins pentru lucrarea de disertatie?	getInfoStudentCalendar
Cand se sustine examenul de disertatie?	getInfoStudentCalendar
Care sunt datele pentru depunerea cererilor de bursa pentru studentii implicati in activitati extracurriculare?	getInfoStudentCalendar
Cand pot studentii depune cererile pentru bursele sociale pentru semestrul I?	getInfoStudentCalendar
Care este termenul limita pentru plata taxei de scolarizare pentru semestrul I?	getInfoStudentCalendar
Cand este programata sesiunea de informare Erasmus+?	getInfoStudentCalendar
Cand au loc interviurile pentru a doua selectie la Erasmus?	getInfoStudentCalendar
